GEOID,NAME,variable,estimate,moe,Zip Code
68959,ZCTA5 68959,B07004H_006,0,9,68959
68960,ZCTA5 68960,B07004H_006,0,9,68960
68961,ZCTA5 68961,B07004H_006,0,9,68961
68964,ZCTA5 68964,B07004H_006,0,9,68964
68966,ZCTA5 68966,B07004H_006,0,9,68966
68967,ZCTA5 68967,B07004H_006,0,9,68967
68969,ZCTA5 68969,B07004H_006,0,9,68969
68970,ZCTA5 68970,B07004H_006,3,4,68970
68971,ZCTA5 68971,B07004H_006,0,9,68971
68972,ZCTA5 68972,B07004H_006,0,9,68972
68973,ZCTA5 68973,B07004H_006,6,6,68973
68974,ZCTA5 68974,B07004H_006,0,9,68974
68975,ZCTA5 68975,B07004H_006,0,9,68975
68976,ZCTA5 68976,B07004H_006,0,9,68976
68977,ZCTA5 68977,B07004H_006,0,9,68977
68978,ZCTA5 68978,B07004H_006,7,12,68978
68979,ZCTA5 68979,B07004H_006,0,9,68979
68980,ZCTA5 68980,B07004H_006,0,9,68980
68981,ZCTA5 68981,B07004H_006,0,9,68981
68982,ZCTA5 68982,B07004H_006,0,9,68982
69001,ZCTA5 69001,B07004H_006,27,31,69001
69020,ZCTA5 69020,B07004H_006,0,9,69020
69021,ZCTA5 69021,B07004H_006,11,11,69021
69022,ZCTA5 69022,B07004H_006,3,4,69022
69023,ZCTA5 69023,B07004H_006,0,9,69023
69024,ZCTA5 69024,B07004H_006,0,9,69024
69025,ZCTA5 69025,B07004H_006,1,2,69025
69026,ZCTA5 69026,B07004H_006,0,9,69026
69027,ZCTA5 69027,B07004H_006,0,9,69027
69028,ZCTA5 69028,B07004H_006,11,16,69028
69029,ZCTA5 69029,B07004H_006,0,9,69029
69030,ZCTA5 69030,B07004H_006,0,9,69030
69032,ZCTA5 69032,B07004H_006,0,9,69032
69033,ZCTA5 69033,B07004H_006,0,9,69033
69034,ZCTA5 69034,B07004H_006,0,9,69034
69036,ZCTA5 69036,B07004H_006,0,9,69036
69037,ZCTA5 69037,B07004H_006,0,9,69037
69038,ZCTA5 69038,B07004H_006,1,3,69038
69039,ZCTA5 69039,B07004H_006,0,9,69039
69040,ZCTA5 69040,B07004H_006,0,9,69040
69041,ZCTA5 69041,B07004H_006,0,9,69041
69042,ZCTA5 69042,B07004H_006,0,9,69042
69043,ZCTA5 69043,B07004H_006,2,3,69043
69044,ZCTA5 69044,B07004H_006,0,9,69044
69045,ZCTA5 69045,B07004H_006,0,9,69045
69046,ZCTA5 69046,B07004H_006,0,9,69046
69101,ZCTA5 69101,B07004H_006,22,37,69101
69120,ZCTA5 69120,B07004H_006,0,9,69120
69121,ZCTA5 69121,B07004H_006,2,3,69121
69122,ZCTA5 69122,B07004H_006,0,9,69122
69123,ZCTA5 69123,B07004H_006,0,9,69123
69125,ZCTA5 69125,B07004H_006,0,9,69125
69127,ZCTA5 69127,B07004H_006,1,4,69127
69128,ZCTA5 69128,B07004H_006,0,9,69128
69129,ZCTA5 69129,B07004H_006,3,4,69129
69130,ZCTA5 69130,B07004H_006,0,13,69130
69131,ZCTA5 69131,B07004H_006,0,9,69131
69132,ZCTA5 69132,B07004H_006,0,9,69132
69133,ZCTA5 69133,B07004H_006,5,9,69133
69134,ZCTA5 69134,B07004H_006,0,9,69134
69135,ZCTA5 69135,B07004H_006,0,9,69135
69138,ZCTA5 69138,B07004H_006,0,9,69138
69140,ZCTA5 69140,B07004H_006,0,9,69140
69141,ZCTA5 69141,B07004H_006,0,9,69141
69142,ZCTA5 69142,B07004H_006,0,9,69142
69143,ZCTA5 69143,B07004H_006,0,9,69143
69144,ZCTA5 69144,B07004H_006,0,9,69144
69145,ZCTA5 69145,B07004H_006,18,21,69145
69146,ZCTA5 69146,B07004H_006,0,9,69146
69147,ZCTA5 69147,B07004H_006,0,9,69147
69148,ZCTA5 69148,B07004H_006,1,2,69148
69149,ZCTA5 69149,B07004H_006,0,9,69149
69150,ZCTA5 69150,B07004H_006,0,9,69150
69151,ZCTA5 69151,B07004H_006,0,9,69151
69152,ZCTA5 69152,B07004H_006,0,9,69152
69153,ZCTA5 69153,B07004H_006,0,13,69153
69154,ZCTA5 69154,B07004H_006,0,9,69154
69155,ZCTA5 69155,B07004H_006,6,11,69155
69156,ZCTA5 69156,B07004H_006,0,9,69156
69157,ZCTA5 69157,B07004H_006,0,9,69157
69161,ZCTA5 69161,B07004H_006,0,9,69161
69162,ZCTA5 69162,B07004H_006,10,16,69162
69163,ZCTA5 69163,B07004H_006,0,9,69163
69165,ZCTA5 69165,B07004H_006,0,9,69165
69166,ZCTA5 69166,B07004H_006,0,9,69166
69167,ZCTA5 69167,B07004H_006,0,9,69167
69168,ZCTA5 69168,B07004H_006,0,9,69168
69169,ZCTA5 69169,B07004H_006,0,9,69169
69170,ZCTA5 69170,B07004H_006,2,3,69170
69171,ZCTA5 69171,B07004H_006,0,9,69171
69201,ZCTA5 69201,B07004H_006,0,11,69201
69210,ZCTA5 69210,B07004H_006,5,8,69210
69211,ZCTA5 69211,B07004H_006,0,9,69211
69212,ZCTA5 69212,B07004H_006,0,11,69212
69214,ZCTA5 69214,B07004H_006,19,32,69214
69216,ZCTA5 69216,B07004H_006,0,11,69216
69217,ZCTA5 69217,B07004H_006,9,14,69217
69218,ZCTA5 69218,B07004H_006,1,3,69218
69219,ZCTA5 69219,B07004H_006,0,9,69219
69220,ZCTA5 69220,B07004H_006,0,9,69220
69221,ZCTA5 69221,B07004H_006,0,9,69221
69301,ZCTA5 69301,B07004H_006,0,13,69301
69331,ZCTA5 69331,B07004H_006,0,9,69331
69333,ZCTA5 69333,B07004H_006,0,9,69333
69334,ZCTA5 69334,B07004H_006,0,9,69334
69335,ZCTA5 69335,B07004H_006,0,9,69335
69336,ZCTA5 69336,B07004H_006,0,9,69336
69337,ZCTA5 69337,B07004H_006,7,15,69337
69339,ZCTA5 69339,B07004H_006,0,9,69339
69340,ZCTA5 69340,B07004H_006,0,9,69340
69341,ZCTA5 69341,B07004H_006,8,13,69341
69343,ZCTA5 69343,B07004H_006,0,9,69343
69345,ZCTA5 69345,B07004H_006,0,9,69345
69346,ZCTA5 69346,B07004H_006,0,9,69346
69347,ZCTA5 69347,B07004H_006,0,9,69347
69348,ZCTA5 69348,B07004H_006,0,9,69348
69350,ZCTA5 69350,B07004H_006,0,9,69350
69351,ZCTA5 69351,B07004H_006,0,9,69351
69352,ZCTA5 69352,B07004H_006,0,9,69352
69353,ZCTA5 69353,B07004H_006,0,9,69353
